院校代号,院校名称,计划,实际投档人数,投档最低分,语文,数学,外语听力
1880,宁波大学,30,30,602,111,137,0
1885,安徽大学,37,39,603,117,131,9
1895,福州大学,14,14,612,122,129,11
1910,南昌大学,30,33,603,121,145,8
1915,江西财经大学,28,30,598,112,133,8
1930,湘潭大学,53,55,593,116,118,11
1935,湖南师范大学,14,16,613,112,147,12
1960,广东外语外贸大学,15,16,598,114,128,11
1965,深圳大学,17,17,617,119,140,11
1970,华南农业大学,20,21,592,105,148,8
1975,广州中医药大学,10,10,580,122,124,11
1985,华南师范大学,11,11,616,122,129,24
2000,广西大学,17,17,598,118,146,21
2000,广西大学（较高收费）,4,4,578,108,125,11
2030,西南政法大学,42,43,619,123,133,05
2030,西南政法大学（较高收费）,6,6,616,109,122,00
2035,重庆邮电大学,4,4,583,120,132,09
2080,云南大学,25,25,605,110,145,09
2090,西北大学,22,22,616,111,143,11
2095,陕西科技大学,10,10,579,114,142,08
2100,西安建筑科技大学,6,7,575,110,138,11
2105,西安邮电大学,5,5,590,106,133,15
2110,西安外国语大学,13,13,601,116,138,21
2110,西安外国语大学（较高收费）,4,4,573,115,110,24
2115,西北政法大学,45,45,602,120,112,11
2120,新疆大学,57,57,573,109,116,12
2125,青海大学,15,15,578,123,120,08
2130,石河子大学,48,48,571,113,126,05
2205,青岛大学,20,20,599,116,137,06
2210,湖北大学,42,44,592,116,136,09
2210,湖北大学（较高收费）,6,6,569,117,094,26
2215,中国民航大学,12,12,588,111,120,09
2220,武汉科技大学,33,35,583,125,135,00
2225,首都师范大学,4,5,610,122,115,06
2230,天津财经大学,40,42,574,113,123,26
2240,南京审计大学,47,47,607,111,144,09
2250,天津外国语大学,56,56,596,122,129,21
2255,浙江理工大学,20,20,591,110,141,08
2265,南京财经大学,20,20,604,121,135,08
2270,江苏科技大学,23,23,581,118,118,21
2280,北京建筑大学,5,5,554,116,123,12
2285,沈阳建筑大学,5,5,565,109,135,12
2290,中国计量大学,15,15,590,109,131,0
2295,南华大学,9,10,577,115,123,11
2300,长沙理工大学,19,19,584,111,128,18
2305,贵州大学,13,13,597,119,117,0
2310,南方医科大学,19,20,585,103,139,14
2315,南京邮电大学,28,28,600,122,146,20
