院校代号,院校名称,计划,实际投档人数,投档最低分,语文,数学,外语听力
4400,曲阜师范大学,41,41,513,97,105,15
4415,山东建筑大学,55,55,525,104,102,12
4485,山东财经大学,58,58,543,113,85,6
4550,湖北工业大学,69,69,562,103,120,0
4550,湖北工业大学（较高收费）,13,13,536,97,113,9
4555,湖北汽车工业学院,12,14,534,111,105,0
4575,武汉纺织大学（原武汉科技学院）,101,126,541,105,121,8
4700,湖南农业大学,69,69,548,102,99,9
4735,湖南工业大学,148,178,532,105,114,17
4775,湖南商学院,19,24,529,116,102,17
4800,广东以色列理工学院,6,7,555,108,115,18
4815,东莞理工学院,29,29,546,101,127,9
4830,广东医科大学,15,15,583,106,119,15
4890,北京师范大学-香港浸会大学联合国际学院,32,32,544,107,107,11
4925,桂林电子科技大学,94,96,556,108,110,0
5005,海南医学院,47,50,549,106,113,12
5010,海南师范大学,39,45,507,91,87,0
5035,重庆理工大学,79,83,563,110,124,12
5035,重庆理工大学（较高收费）,20,21,541,109,99,0
5055,重庆师范大学,30,32,551,106,129,11
5080,四川师范大学,37,37,553,115,99,26
5095,成都信息工程大学（原成都信息工程学院）,47,57,556,108,103,30
5100,西华大学,68,68,550,107,110,9
5115,西南医科大学,40,42,562,105,109,27
5190,遵义医学院,15,15,551,108,119,6
5190,遵义医学院（异地校区）,7,7,553,105,110,29
5230,昆明理工大学,71,71,565,106,119,11
5230,昆明理工大学（较咼收费）,10,10,509,106,99,11
5400,兰州理工大学,96,101,510,105,119,9
5400,兰州理工大学（较咼收费）,6,6,509,99,120,12
5410,西北师范大学,31,31,513,107,84,27
5415,兰州交通大学,95,100,554,104,112,11
5420,甘肃中医药大学（原甘肃中医学院）,5,6,527,106,104,11
5485,宁夏医科大学,6,6,559,107,123,9
5590,成都学院,30,30,538,89,125,5
5595,上海电机学院,68,70,540,102,107,0
5610,上海政法学院,66,68,563,105,107,5
5835,成都医学院,10,10,554,111,123,27
5995,郑州大学（中外合作办学）,1470,1485,549,106,104,11
5995,郑州大学（中外合作办学）（医护类）,200,172,499,101,106,12
6000,郑州大学,3156,3220,586,113,127,11
6000,郑州大学（医护类）,200,202,540,110,124,11
6005,河南大学,2094,2157,561,99,113,9
6006,河南大学（软件类）,650,670,511,120,90,8
6007,河南大学（与开封大学联合办学）（就读地点：开封大学）,40,41,506,99,115,0
6008,河南大学（与濮阳市联办濮阳工学院）,160,144,499,91,107,9
6009,河南大学（中外合作办学）,911,930,518,98,112,14
6010,河南农业大学,4051,4457,501,114,105,23
6012,河南农业大学（中外合作办学）,550,106,479,106,96,9
6014,河南大学（迈阿密学院）,75,79,520,115,97,8
6015,河南中医药大学,2382,2645,515,102,118,0
6020,新乡医学院,1883,1996,539,96,124,11
6025,河南科技学院,174,180,480,95,116,12
6030,河南师范大学,2890,3035,521,114,100,14
6075,南阳理工学院,64,64,502,105,109,0
6080,河南财经政法大学,1182,1218,546,101,113,6
6080,河南财经政法大学（较高收费）,150,153,538,99,117,30
6085,河南科技大学,3143,3383,531,95,124,9
6085,河南科技大学（医护类）,211,94,499,94,115,15
6085,河南科技大学（其他单列）,1372,342,499,99,106,0
6090,郑州航空工业管理学院,1409,1469,507,104,104,15
6095,华北水利水电大学,2947,3036,530,100,115,17
6100,河南理工大学,5462,5681,510,97,104,12
6105,河南工业大学,2615,2720,525,100,105,8
6110,郑州轻工业学院,1798,1942,507,98,107,0
6115,中原工学院,1450,1539,502,98,94,0
6116,中原工学院（中原彼得堡航空学院）,63,4,500,106,103,11
6117,中原工学院（软件类）,620,64,499,88,117,9
6120,河南城建学院,130,71,499,95,112,0
6603,浙江大学宁波理工学院,65,65,510,107,92,12
6823,浙江大学城市学院,70,70,528,117,100,9
7113,上海健康医学院,50,50,503,97,113,0
7501,上海第一工业大学,84,86,552,105,126,14
