代码,名称,分数,排名
2415,浙江工业大学,555,7077
2425,湖南科技大学,545,9374
2430,南昌航空大学,528,14369
2435,江西理工大学,531,13403
2440,长江大学,522,16519
2450,成都理工大学,544,9622
2500,首都经济贸易大学,579,3320
2505,南京林业大学,553,7479
2510,西南科技大学,537,11522
2515,西南石油大学,539,10963
2520,西安工程大学,534,12434
2525,天津工业大学,550,8153
2530,中北大学,536,11818
2535,西安科技大学,542,10156
2540,河北科技大学,530,13743
2550,北京联合大学,552,7706
2575,浙江师范大学,559,6248
2610,黑龙江中医药大学,539,10963
2615,湖南中医药大学,545,9374
2620,成都中医药大学,574,3894
2655,湖北中医药大学,551,7926
2750,海南大学,559,6248
2750,海南大学(较高收费),516,18951
2755,宁夏大学,550,8153
2780,山东科技大学,547,8873
2780,山东科技大学(较高收费),518,18137
2785,河北大学,552,7706
2790,辽宁石油化工大学,524,15767
2795,沈阳工业大学,529,14050
2800,中南林业科技大学,544,9622
2850,广州大学,563,5558
2855,广州医科大学,539,10963
2860,上海海事大学,565,5214
2865,重庆交通大学,548,8606
2870,天津理工大学,524,15767
2875,上海海洋大学,552,7706
2875,上海海洋大学(较高收费),544,9622
2880,常州大学,543,9885
2885,华东交通大学,539,10963
2890,重庆工商大学,560,6069
2895,武汉工程大学,544,9622
2905,三峡大学,534,12434
2910,四川外国语大学,568,4738
2920,山西财经大学,554,7281
2925,上海立信会计金融学院,578,3421
3020,西南民族大学,544,9622
3040,上海电力学院,538,11236
3060,中国民用航空飞行学院,544,9622
3175,北京印刷学院,546,9122
3200,天津科技大学,533,12740
3240,天津商业大学,555,7077
3595,大连外国语大学,558,6463
3690,吉林财经大学,530,13743
3690,吉林财经大学(较高收费),518,18137
3695,黑龙江大学,537,11522
3725,哈尔滨商业大学,541,10436
3815,上海应用技术大学,535,12138
4055,杭州师范大学,556,6877
4060,浙江工商大学,569,4566
4065,浙江财经大学,543,9885
4195,福建农林大学,533,12740
4205,福建师范大学,552,7706
4275,东华理工大学,523,16145
4350,济南大学,551,7926
4370,山东理工大学,522,16519
4395,山东师范大学,546,9122
4550,湖北工业大学,538,11236
4575,武汉纺织大学,532,13099
4700,湖南农业大学,535,12138
4735,湖南工业大学,519,17731
4890,北京师范大学-香港浸会大学联合国际学院,526,15055
5035,重庆理工大学,550,8153
5055,重庆师范大学,542,10156
5080,四川师范大学,542,10156
5095,成都信息工程大学,530,13743
5100,西华大学,537,11522
5115,西南医科大学,526,15055
5230,昆明理工大学,540,10686
5590,成都学院,520,17348
5610,上海政法学院,556,6877
5995,郑州大学(中外合作办学),533,12740
6000,郑州大学,570,4432
6000,郑州大学(医护类),524,15767
6005,河南大学,548,8606
6009,河南大学(中外合作办学),516,18951
6010,河南农业大学,520,17348
6015,河南中医药大学,520,17348
6020,新乡医学院,516,18951
6030,河南师范大学,524,15767
6080,河南财经政法大学,539,10963
6080,河南财经政法大学(较高收费),523,16145
6085,河南科技大学,528,14369
6090,郑州航空工业管理学院,521,16933
6095,华北水利水电大学,523,16145
6100,河南理工大学,517,18518
6105,河南工业大学,521,16933
6110,郑州轻工业学院,517,18518
6115,中原工学院,519,17731
