代码,名称,分数,排名
1405,东北师范大学,543,4453
1405,东北师范大学(较高收费),514,12314
1410,华东师范大学,576,866
1415,华中师范大学,563,1783
1415,华中师范大学(较高收费),523,9237
1420,陕西师范大学,549,3439
1425,西南大学,557,2392
1425,西南大学(较高收费),520,10197
1427,西南大学(荣昌校区),523,9237
1430,北京外国语大学,576,866
1435,北京语言大学,559,2163
1440,上海外国语大学,576,866
1445,上海财经大学,595,255
1450,对外经济贸易大学,583,573
1455,西南财经大学,562,1869
1460,中央财经大学,580,688
1465,中国政法大学,578,770
1470,中国传媒大学,569,1289
1485,北京航空航天大学,576,866
1490,北京理工大学,571,1158
1495,哈尔滨工业大学,564,1699
1500,哈尔滨工程大学,531,7029
1505,南京航空航天大学,553,2890
1515,西北工业大学,559,2163
1520,暨南大学,567,1454
1550,北京工商大学,551,3152
1565,北京第二外国语学院,553,2890
1605,天津医科大学,539,5209
1630,河北工业大学,533,6546
1635,燕山大学,531,7029
1640,石家庄铁道大学,522,9569
1660,山西大学,523,9237
1680,内蒙古大学,526,8341
1690,辽宁大学,541,4806
1695,辽宁工程技术大学,513,12687
1710,沈阳农业大学,516,11602
1725,东北财经大学,558,2283
1725,东北财经大学(较高收费),522,9569
1740,延边大学,527,8066
1745,长春理工大学,514,12314
1760,东北农业大学,525,8646
1765,哈尔滨医科大学,518,10891
1790,上海大学,565,1621
1795,上海理工大学,542,4652
1795,上海理工大学(较高收费),526,8341
1805,上海对外经贸大学,553,2890
1810,华东政法大学,556,2514
1830,苏州大学,564,1699
1835,扬州大学,531,7029
1840,江苏大学,542,4652
1845,南京工业大学,529,7519
1855,南京师范大学,557,2392
1860,南京信息工程大学,525,8646
1880,宁波大学,538,5428
1885,安徽大学,544,4256
1895,福州大学,545,4074
1910,南昌大学,543,4453
1915,江西财经大学,546,3907
1930,湘潭大学,534,6333
1935,湖南师范大学,543,4453
1960,广东外语外贸大学,555,2636
1965,深圳大学,550,3281
1970,华南农业大学,529,7519
1975,广州中医药大学,545,4074
1985,华南师范大学,547,3730
2030,西南政法大学,553,2890
2030,西南政法大学(较高收费),537,5639
2035,重庆邮电大学,524,8935
2080,云南大学,541,4806
2090,西北大学,556,2514
2095,陕西科技大学,522,9569
2100,西安建筑科技大学,519,10556
2105,西安邮电大学,531,7029
2110,西安外国语大学,541,4806
2115,西北政法大学,541,4806
2120,新疆大学,513,12687
2125,青海大学,516,11602
2130,石河子大学,516,11602
2205,青岛大学,532,6770
2210,湖北大学,530,7284
2215,中国民航大学,536,5867
2220,武汉科技大学,535,6091
2225,首都师范大学,547,3730
2230,天津财经大学,550,3281
2240,南京审计学院,550,3281
2250,天津外国语大学,538,5428
2255,浙江理工大学,528,7781
2265,南京财经大学,547,3730
2270,江苏科技大学,528,7781
2280,北京建筑大学,533,6546
2285,沈阳建筑大学,515,11970
2290,中国计量学院,526,8341
2295,南华大学,519,10556
2300,长沙理工大学,522,9569
2305,贵州大学,535,6091
2310,南方医科大学,537,5639
2315,南京邮电大学,536,5867
2320,北方工业大学,527,8066
2325,华侨大学,531,7029
2330,西安工业大学,521,9865
2335,上海金融学院,549,3439
2340,汕头大学,540,5003
2345,宁波诺丁汉大学,534,6333
2350,大连民族大学,518,10891
2360,温州肯恩大学,514,12314
2365,太原理工大学,530,7284
2375,东北石油大学,513,12687
2380,北京信息科技大学,533,6546
2385,安徽财经大学,536,5867
2390,上海师范大学,536,5867
2390,上海师范大学(较高收费),524,8935
2395,集美大学,534,6333
2400,北京物资学院,526,8341
2405,天津师范大学,532,6770
2410,青岛理工大学,523,9237
2415,浙江工业大学,527,8066
2425,湖南科技大学,521,9865
2450,成都理工大学,515,11970
2500,首都经济贸易大学,551,3152
2505,南京林业大学,526,8341
2510,西南科技大学,519,10556
2515,西南石油大学,513,12687
2525,天津工业大学,523,9237
2530,中北大学,517,11248
2535,西安科技大学,522,9569
2550,北京联合大学,531,7029
2565,南通大学,519,10556
2575,浙江师范大学,529,7519
2615,湖南中医药大学,527,8066
2620,成都中医药大学,553,2890
2655,湖北中医药大学,518,10891
2750,海南大学,530,7284
2750,海南大学(较高收费),513,12687
2755,宁夏大学,525,8646
2780,山东科技大学,522,9569
2785,河北大学,524,8935
2790,辽宁石油化工大学,513,12687
2795,沈阳工业大学,515,11970
2800,中南林业科技大学,521,9865
2805,西安理工大学,520,10197
2850,广州大学,538,5428
2850,广州大学(较高收费),523,9237
2855,广州医科大学,　,FAIL
2860,上海海事大学,537,5639
2865,重庆交通大学,522,9569
2875,上海海洋大学,527,8066
2875,上海海洋大学(较高收费),518,10891
2880,常州大学,521,9865
2885,华东交通大学,535,6091
2890,重庆工商大学,535,6091
2910,四川外国语大学,540,5003
2920,山西财经大学,532,6770
2925,上海立信会计学院,551,3152
3175,北京印刷学院,529,7519
3240,天津商业大学,530,7284
3725,哈尔滨商业大学,518,10891
4055,杭州师范大学,526,8341
4060,浙江工商大学,531,7029
4195,福建农林大学,519,10556
4205,福建师范大学,523,9237
4350,济南大学,522,9569
4395,山东师范大学,523,9237
4485,山东财经大学,531,7029
4550,湖北工业大学,514,12314
4700,湖南农业大学,516,11602
4890,北京师范大学-香港浸会大学联合国际学院,513,12687
5035,重庆理工大学,523,9237
5230,昆明理工大学,514,12314
5610,上海政法学院,530,7284
5995,郑州大学(中外合作办学),513,12687
6000,郑州大学,544,4256
6005,河南大学,527,8066
6009,河南大学(中外合作办学),513,12687
6010,河南农业大学,517,11248
6015,河南中医学院,513,12687
6030,河南师范大学,519,10556
6080,河南财经政法大学,523,9237
6080,河南财经政法大学(较高收费),513,12687
6085,河南科技大学,516,11602
6100,河南理工大学,518,10891
6105,河南工业大学,517,11248
